COD_CIUDAD_MUNI,NombreMun,NombreDep,MunDep,longitude,latitude
8675,Santa Lucía,Atlántico,Santa Lucía Atlántico,-74.96004237,10.32437171
70418,Los Palmitos,Sucre,Los Palmitos Sucre,-75.26815731,9.380172958
70742,San Luis de Sincé,Sucre,San Luis de Sincé Sucre,-75.14668879,9.244449411
25040,Anolaima,Cundinamarca,Anolaima Cundinamarca,-74.46379302,4.761660857
25086,Beltrán,Cundinamarca,Beltrán Cundinamarca,-74.74124367,4.802678271
25095,Bituima,Cundinamarca,Bituima Cundinamarca,-74.53970994,4.872035063
25099,Bojacá,Cundinamarca,Bojacá Cundinamarca,-74.34442266,4.737487276
25123,Cachipay,Cundinamarca,Cachipay Cundinamarca,-74.43596488,4.730928717
25148,Caparrapí,Cundinamarca,Caparrapí Cundinamarca,-74.49099552,5.348088425
25168,Chaguaní,Cundinamarca,Chaguaní Cundinamarca,-74.59365614,4.948932495
15572,Puerto Boyacá,Boyacá,Puerto Boyacá Boyacá,-74.58247571,5.974704994
17013,Aguadas,Caldas,Aguadas Caldas,-75.45426051,5.610538262
17042,Anserma,Caldas,Anserma Caldas,-75.7840205,5.238019498
17050,Aranzazu,Caldas,Aranzazu Caldas,-75.49077517,5.271496649
17088,Belalcázar,Caldas,Belalcázar Caldas,-75.80435504,4.993507785
17174,Chinchiná,Caldas,Chinchiná Caldas,-75.60719238,4.986369906
17272,Filadelfia,Caldas,Filadelfia Caldas,-75.56230685,5.29729663
17388,La Merced,Caldas,La Merced Caldas,-75.54578014,5.39697953
17433,Manzanares,Caldas,Manzanares Caldas,-75.15235936,5.256257821
17442,Marmato,Caldas,Marmato Caldas,-75.60075777,5.474501692
17444,Marquetalia,Caldas,Marquetalia Caldas,-75.05305406,5.299451768
17446,Marulanda,Caldas,Marulanda Caldas,-75.25986063,5.284233415
17486,Neira,Caldas,Neira Caldas,-75.51979357,5.166362716
17495,Norcasia,Caldas,Norcasia Caldas,-74.88920678,5.575224069
17513,Pácora,Caldas,Pácora Caldas,-75.46003448,5.528633072
17524,Palestina,Caldas,Palestina Caldas,-75.62286358,5.018665566
17541,Pensilvania,Caldas,Pensilvania Caldas,-75.15932036,5.383665952
17614,Riosucio,Caldas,Riosucio Caldas,-75.70234275,5.423900882
17616,Risaralda,Caldas,Risaralda Caldas,-75.76799047,5.163520264
17653,Salamina,Caldas,Salamina Caldas,-75.48737438,5.404215588
17662,Samaná,Caldas,Samaná Caldas,-74.99240666,5.413022156
17665,San José,Caldas,San José Caldas,-75.7916743,5.082588846
17777,Supía,Caldas,Supía Caldas,-75.64945779,5.446022945
17867,Victoria,Caldas,Victoria Caldas,-74.91117698,5.317426972
